Results Table 1;;;;;
;;;;;
;;;;;
;Aço 1016;;;;
;Time;Displacement;Force;Tensile strain (Strain 2);Tensile stress
;(s);(mm);(kN);(mm/mm);(MPa)
;3.0560;0.17871;1.41180;0.00020;59.42331
;3.0600;0.17895;1.41451;0.00020;59.53747
;3.0640;0.17919;1.41722;0.00021;59.65158
;3.0680;0.17943;1.41991;0.00021;59.76465
;3.0720;0.17973;1.42267;0.00021;59.88100
;3.0760;0.17997;1.42538;0.00021;59.99519
;3.0800;0.18021;1.42801;0.00021;60.10589
;3.0840;0.18038;1.43062;0.00021;60.21549
;3.0880;0.18062;1.43327;0.00021;60.32732
;3.0920;0.18092;1.43595;0.00020;60.43985
;3.0960;0.18116;1.43865;0.00020;60.55343
;3.1000;0.18140;1.44140;0.00020;60.66945
;3.1040;0.18164;1.44421;0.00021;60.78744
;3.1080;0.18188;1.44699;0.00021;60.90447
;3.1120;0.18212;1.44972;0.00021;61.01953
;3.1160;0.18236;1.45250;0.00021;61.13636
;3.1200;0.18260;1.45518;0.00021;61.24928
;3.1240;0.18284;1.45782;0.00021;61.36034
;3.1280;0.18308;1.46040;0.00021;61.46887
;3.1340;0.18343;1.46412;0.00021;61.62585
;3.1380;0.18367;1.46667;0.00021;61.73294
;3.1420;0.18397;1.46924;0.00021;61.84124
;3.1460;0.18421;1.47176;0.00021;61.94741
;3.1500;0.18439;1.47430;0.00021;62.05433
;3.1540;0.18463;1.47695;0.00021;62.16562
;3.1580;0.18487;1.47959;0.00021;62.27676
;3.1620;0.18511;1.48212;0.00021;62.38338
;3.1680;0.18547;1.48585;0.00021;62.54021
;3.1740;0.18583;1.48950;0.00021;62.69388
;3.1800;0.18612;1.49302;0.00021;62.84216
;3.1860;0.18648;1.49640;0.00021;62.98430
;3.1920;0.18684;1.49979;0.00022;63.12709
;3.1980;0.18720;1.50329;0.00022;63.27444
;3.2040;0.18756;1.50667;0.00022;63.41658
;3.2100;0.18786;1.50995;0.00022;63.55452
;3.2160;0.18822;1.51333;0.00022;63.69697
;3.2220;0.18858;1.51666;0.00022;63.83720
;3.2280;0.18899;1.51999;0.00022;63.97736
;3.2340;0.18935;1.52337;0.00022;64.11968
