Strain	Stress
2,30E-04	66,3901
2,30E-04	66,5439
2,30E-04	66,69621
2,30E-04	66,84933
2,30E-04	67,00328
2,30E-04	67,1568
2,30E-04	67,30574
2,30E-04	67,45532
2,30E-04	67,61047
2,30E-04	67,71655
2,30E-04	67,82317
2,30E-04	67,97934
2,30E-04	68,08556
2,30E-04	68,2381
2,30E-04	68,38432
2,40E-04	68,52996
2,40E-04	68,68874
2,40E-04	68,79485
2,40E-04	68,9525
2,40E-04	69,05812
2,40E-04	69,16402
2,40E-04	69,26989
2,40E-04	69,42741
2,40E-04	69,53658
2,40E-04	69,64571
2,40E-04	69,75565
2,40E-04	69,86521
2,40E-04	69,97358
2,40E-04	70,08421
2,40E-04	70,1944
2,40E-04	70,30261
2,40E-04	70,41152
2,40E-04	70,51918
2,50E-04	70,62609
2,50E-04	70,73282
2,50E-04	70,83956
2,50E-04	70,99496
2,50E-04	71,10038
2,50E-04	71,25658
2,50E-04	71,40887
2,50E-04	71,56042
2,50E-04	71,70837
2,50E-04	71,85095
2,50E-04	71,99008
2,50E-04	72,13045
2,50E-04	72,27193
2,50E-04	72,42463
2,50E-04	72,53271
2,50E-04	72,64178
2,50E-04	72,74761
2,50E-04	72,90271
2,50E-04	73,05461
2,50E-04	73,21235
2,60E-04	73,31758
2,60E-04	73,42548
2,60E-04	73,53559
2,60E-04	73,64932
2,60E-04	73,76373
2,60E-04	73,87692
2,60E-04	73,98695
2,60E-04	74,09633
2,60E-04	74,20805
2,60E-04	74,32009
2,60E-04	74,43494
2,60E-04	74,55042
2,60E-04	74,66756
2,60E-04	74,78153
2,60E-04	74,89885
2,60E-04	75,01849
2,60E-04	75,13884
2,60E-04	75,25642
2,70E-04	75,3708
2,70E-04	75,4827
2,70E-04	75,59249
2,70E-04	75,69881
2,70E-04	75,85571
2,70E-04	76,01193
2,70E-04	76,16772
2,70E-04	76,3203
2,70E-04	76,47106
2,70E-04	76,57663
2,70E-04	76,68321
2,70E-04	76,83736
2,70E-04	76,98402
2,80E-04	77,13468
2,80E-04	77,28748
2,80E-04	77,44434
